Solution Number,  Solution Name,   Fitness,  max_boron,  PinPowerPeaking,  FDeltaH,  cycle_length,  
0,    initial_parent_0,    None,0.6540837657763947,    0.3529883537948292,    0.4236983975735039,    0.14798487047341424,    
1,    initial_parent_1,    None,0.9659642618994542,    0.755117105320118,    0.9911725739334044,    0.4633756703326328,    
2,    initial_parent_2,    None,0.5355558240246613,    0.31585491240259733,    0.9401324375745472,    0.42123873190551453,    
3,    initial_parent_3,    None,0.7758253454372596,    0.5241004992326416,    0.8829829067960041,    0.16801865015386597,    
4,    initial_parent_4,    None,0.5327209171095385,    0.30811939600410265,    0.3933850811088002,    0.6791165970521803,    
5,    initial_parent_5,    None,0.994663923912603,    0.3287415041551791,    0.25750216211080856,    0.7963684231028547,    
6,    initial_parent_6,    None,0.59162481997239,    0.7094741208909244,    0.517248138697721,    0.37767268971856427,    
7,    initial_parent_7,    None,0.07295504534961217,    0.6303898451682165,    0.48537358911873263,    0.7029152620869904,    
8,    initial_parent_8,    None,0.5019127626705345,    0.040800465181319634,    0.5807507353111336,    0.10558822730473671,    
9,    initial_parent_9,    None,0.26965471839866295,    0.3005119047137442,    0.07874134584263093,    0.8574822802546787,    
10,    initial_parent_10,    None,0.35638130228395204,    0.8849777587242078,    0.35182105600053537,    0.4426347128035485,    
11,    initial_parent_11,    None,0.6197072196382001,    0.5772111882192154,    0.7402099481321877,    0.8117449040606958,    
12,    initial_parent_12,    None,0.6184587485421578,    0.6032008065471499,    0.4925041890736448,    0.770768228772975,    
13,    initial_parent_13,    None,0.6547643791496985,    0.8210416807296103,    0.2675527096646143,    0.5157362238900102,    
14,    initial_parent_14,    None,0.11154246015317304,    0.5557463560915827,    0.20933821863983137,    0.7902903491736264,    
15,    initial_parent_15,    None,0.38681645746846505,    0.9686366878066134,    0.9992714280597075,    0.9179541297196622,    
16,    initial_parent_16,    None,0.9118808390083274,    0.6057809274719564,    0.13057399094426714,    0.8487817151511655,    
17,    initial_parent_17,    None,0.6857651636714862,    0.264095689787353,    0.43123407150240656,    0.558366861877575,    
18,    initial_parent_18,    None,0.652626383411988,    0.42731173204649076,    0.1580284642483234,    0.7765135792536452,    
19,    initial_parent_19,    None,0.42124604174251634,    0.17107989462286277,    0.48897642052809287,    0.3668024128790037,    
20,    initial_parent_20,    None,0.9296500761831664,    0.8865371453082067,    0.18621931446192452,    0.7840735609434668,    
21,    initial_parent_21,    None,0.58805725836104,    0.8235892188823459,    0.11087525800432063,    0.2821917283422536,    
22,    initial_parent_22,    None,0.009682381714690602,    0.972801814877638,    0.9327742315655224,    0.6462173153903845,    
23,    initial_parent_23,    None,0.3592016315506731,    0.8803987831050739,    0.6787111914428233,    0.6914437832488166,    
24,    initial_parent_24,    None,0.5919620878505387,    0.8009623463575491,    0.6503477521735149,    0.0007986307544777249,    
25,    initial_parent_25,    None,0.3564077124269516,    0.6551988439471116,    0.6171163928782566,    0.12166203123408559,    
26,    initial_parent_26,    None,0.20783384581094266,    0.017741450095529743,    0.15786075814960665,    0.6331935843756731,    
27,    initial_parent_27,    None,0.8819965193138444,    0.3173325091290988,    0.6548879860075327,    0.03628105282271188,    
28,    initial_parent_28,    None,0.24692885063816472,    0.8219147782442496,    0.7931459923583124,    0.630493450632421,    
29,    initial_parent_29,    None,0.7845836445010833,    0.22109054725839417,    0.5666461504819392,    0.521762457332014,    
30,    initial_child_0,    None,0.5346480487545,    0.0979659307893016,    0.9427798800472771,    0.8690270509333976,    
31,    initial_child_1,    None,0.9185388214082019,    0.7781812386025572,    0.36648728330557523,    0.21722583207499224,    
32,    initial_child_2,    None,0.15105141789213794,    0.9028520273098609,    0.7913892158078996,    0.6395023399243092,    
33,    initial_child_3,    None,0.9043793309492105,    0.3468764258648338,    0.6554102292128724,    0.34495899272982933,    
34,    initial_child_4,    None,0.27397914268272505,    0.9836620228218368,    0.8092379462033449,    0.5477531144446683,    
35,    initial_child_5,    None,0.22196023498219342,    0.8326728112690032,    0.757835875360334,    0.8348752475723598,    
36,    initial_child_6,    None,0.7461608869228573,    0.1740047400391289,    0.003783005357768543,    0.614053105322977,    
37,    initial_child_7,    None,0.23539638201191349,    0.4461106496410905,    0.3436728066878936,    0.581692491645629,    
38,    initial_child_8,    None,0.8359121312364257,    0.846708421750149,    0.7586446781850588,    0.9753876205944613,    
39,    initial_child_9,    None,0.5928421503675332,    0.34217841245086134,    0.22824665641292052,    0.7804830129846348,    
40,    initial_child_10,    None,0.4040049204912083,    0.6138022376036512,    0.3543134580895143,    0.40632836916082304,    
41,    initial_child_11,    None,0.8133787745740995,    0.13033537328959444,    0.4119413917300433,    0.7043266562519184,    
42,    initial_child_12,    None,0.09306147770452966,    0.8074922522065316,    0.5058137624815849,    0.2203958942501466,    
43,    initial_child_13,    None,0.6661992420682374,    0.36478956505816784,    0.5406047167558783,    0.16458073007037755,    
44,    initial_child_14,    None,0.029917591416904532,    0.9846722460502835,    0.5937447061130422,    0.7648767406394236,    
45,    initial_child_15,    None,0.9343000303006938,    0.1307944558546712,    0.8640139564982868,    0.9173624097560922,    
46,    initial_child_16,    None,0.6605236370119808,    0.37755256268047255,    0.8620537170451236,    0.16316797154468932,    
47,    initial_child_17,    None,0.7138372396386314,    0.7296047736311388,    0.9360716321782241,    0.7010138767651718,    
48,    initial_child_18,    None,0.7949462113173194,    0.4638965812646797,    0.3008843681755283,    0.9035080694767873,    
49,    initial_child_19,    None,0.1371652907736316,    0.037075757246610164,    0.8897112893683026,    0.3936321723659829,    
50,    initial_child_20,    None,0.1161099736654142,    0.07180942832647064,    0.7794503084876664,    0.7501961720745423,    
51,    initial_child_21,    None,0.5107729752358529,    0.34342104002710316,    0.2640062199508937,    0.10492882692546979,    
52,    initial_child_22,    None,0.48303460947292076,    0.7134883482216354,    0.949282886587281,    0.1296063896100863,    
53,    initial_child_23,    None,0.9184565285003317,    0.3027720125474357,    0.7584189618753221,    0.41324498041761526,    
54,    initial_child_24,    None,0.24158038713192298,    0.45222040215454773,    0.3578313138584467,    0.21561026738953715,    
55,    initial_child_25,    None,0.4289560025836481,    0.14588381423230945,    0.018284447275034976,    0.1437623258106041,    
56,    initial_child_26,    None,0.11097085052937694,    0.4368639582217334,    0.6951204109663995,    0.7535727755577043,    
57,    initial_child_27,    None,0.5531040052769639,    0.8203043033617945,    0.40375276699512963,    0.4771940675129164,    
58,    initial_child_28,    None,0.648212231668374,    0.5756579685922457,    0.6240385845524211,    0.3604729302783707,    
59,    initial_child_29,    None,0.23489172652025525,    0.32685639058651206,    0.9561631774367947,    0.3679820246822001,    
60,    child_0_0,    None,0.21441001436752904,    0.4763046207236252,    0.2628999973226933,    0.1558405500772957,    
61,    child_0_1,    None,0.19877797706195188,    0.474319057442697,    0.035991633306436066,    0.09597877243112529,    
62,    child_0_2,    None,0.4512359524102104,    0.0691924642838403,    0.6897968383894423,    0.967281642624867,    
63,    child_0_3,    None,0.4383542687831927,    0.3725773001630138,    0.8735359217686465,    0.274500684969314,    
64,    child_0_4,    None,0.6637942048328503,    0.503222302274444,    0.7273536390719801,    0.1528915671920258,    
65,    child_0_5,    None,0.9280109805673219,    0.41532272562873374,    0.07376975653274709,    0.008214152265350272,    
66,    child_0_6,    None,0.5008940852393656,    0.9036484303816135,    0.2459341056093568,    0.2212199170520185,    
67,    child_0_7,    None,0.6513577490040918,    0.24375777178756008,    0.42287365543727584,    0.8679748332405928,    
68,    child_0_8,    None,0.6584974813060347,    0.39247052116325276,    0.6174012626552344,    0.6278048988363362,    
69,    child_0_9,    None,0.023324070490824633,    0.7898506736985602,    0.6609929848347301,    0.5774393098345391,    
70,    child_0_10,    None,0.9104734742726877,    0.0771243456605133,    0.9657495134129547,    0.37361674784118093,    
71,    child_0_11,    None,0.9171395870313723,    0.9676435126916668,    0.08212477351994574,    0.1695167335512665,    
72,    child_0_12,    None,0.31147898794525053,    0.2021914706695016,    0.49318078759703265,    0.7610349006087768,    
73,    child_0_13,    None,0.34522783217536146,    0.7542639435479326,    0.6037516917630414,    0.6085489433890283,    
74,    child_0_14,    None,0.45403684954041057,    0.8726635115902671,    0.12399960112055142,    0.2861691745533811,    
75,    child_0_15,    None,0.08099307328667193,    0.9583863993776723,    0.856446984032844,    0.49011383596139557,    
76,    child_0_16,    None,0.5581674790696288,    0.26546626627219516,    0.25272894082853303,    0.29131312394870335,    
77,    child_0_17,    None,0.37517560832495245,    0.7452387405941188,    0.3792752050842003,    0.3033344838158435,    
78,    child_0_18,    None,0.7412406441891447,    0.5053310259996316,    0.6638921739137544,    0.9841000145370115,    
79,    child_0_19,    None,0.5407020821637443,    0.7618694698082635,    0.977786509979105,    0.2769755303613818,    
80,    child_0_20,    None,0.20903207190695972,    0.6473085488586551,    0.40970970201612766,    0.45371213633786145,    
81,    child_0_21,    None,0.3018669469116354,    0.8212799750513113,    0.8188697383246848,    0.9238471170265095,    
82,    child_0_22,    None,0.6660269887290252,    0.9034127275674091,    0.23896136203188378,    0.03960283926272945,    
83,    child_0_23,    None,0.2750451041732517,    0.6052461902754385,    0.00727465336871147,    0.3285825104348521,    
84,    child_0_24,    None,0.07408286672745923,    0.0019137260575035064,    0.31024349988849054,    0.04315133555773798,    
85,    child_0_25,    None,0.331891209749531,    0.3649122508333308,    0.6421717045468597,    0.08676851927941509,    
86,    child_0_26,    None,0.8152963342126441,    0.021691596798729895,    0.7012896887957843,    0.21517699518288336,    
87,    child_0_27,    None,0.5553378311648361,    0.7678294635693184,    0.8102423968537625,    0.2865620290589729,    
88,    child_0_28,    None,0.7639846119327466,    0.3796133947269815,    0.24431922648854287,    0.9886694708871105,    
89,    child_0_29,    None,0.7012166846124548,    0.4921644214499994,    0.04746745577142397,    0.5556695145281942,    
90,    child_1_0,    None,0.5038734217916002,    0.01801308117449041,    0.6236799711188228,    0.0047895670508947275,    
91,    child_1_1,    None,0.12006897906109715,    0.772525649520037,    0.36962051060187573,    0.6605635199030163,    
92,    child_1_2,    None,0.9437484876161074,    0.8788505948931247,    0.8181002930931057,    0.9442854446317003,    
93,    child_1_3,    None,0.7682308684852355,    0.4996125422080474,    0.526757559272588,    0.2638724459027253,    
94,    child_1_4,    None,0.10061602435300498,    0.9578888980216907,    0.8131791563496897,    0.11670488020257008,    
95,    child_1_5,    None,0.2823876542477398,    0.3705086293475144,    0.6894744056150326,    0.7498074960926526,    
96,    child_1_6,    None,0.3871684539667649,    0.5474621742017967,    0.10573199491637286,    0.6291055634739933,    
97,    child_1_7,    None,0.26010009120905564,    0.5815021322253875,    0.6773173028864664,    0.45507017621269596,    
98,    child_1_8,    None,0.5847478478174751,    0.5617262217947427,    0.9156956875430656,    0.8945070227899167,    
99,    child_1_9,    None,0.4471062588330216,    0.6976575363249167,    0.302553496835653,    0.3057381243266204,    
100,    child_1_10,    None,0.3540028147869594,    0.606283764594805,    0.2643717699099464,    0.8896305440692754,    
101,    child_1_11,    None,0.02331496915528608,    0.6684864013864809,    0.38077831065263235,    0.4402009163810925,    
102,    child_1_12,    None,0.7482582738571408,    0.07454183750211274,    0.3301108835900478,    0.7519136784346391,    
103,    child_1_13,    None,0.7554050131218312,    0.8665697948714032,    0.0864813112665257,    0.059992599325483176,    
104,    child_1_14,    None,0.08986094174940562,    0.7562460037195152,    0.7443997985286439,    0.31202930245130944,    
105,    child_1_15,    None,0.7195733483169953,    0.22661214842548216,    0.49911320360794476,    0.8310751819262377,    
106,    child_1_16,    None,0.02781057158649558,    0.8597984396550945,    0.9669077783664124,    0.5407011446882974,    
107,    child_1_17,    None,0.5502859088976216,    0.5461049338062998,    0.8783251355915533,    0.7418765087088577,    
108,    child_1_18,    None,0.13237678657121588,    0.48891586850324753,    0.07626300221772797,    0.9817879230940258,    
109,    child_1_19,    None,0.9393868542398766,    0.8914788691573141,    0.19312203198902078,    0.07340603958270364,    
110,    child_1_20,    None,0.17014958849391104,    0.9381278563962399,    0.9440168062290345,    0.5053829130846392,    
111,    child_1_21,    None,0.987507781257528,    0.22190998942593265,    0.07262031378053235,    0.9828343064748815,    
112,    child_1_22,    None,0.6255203474319275,    0.5917138939809929,    0.15459241131078005,    0.8724305954938274,    
113,    child_1_23,    None,0.47212938701541296,    0.21301426096337062,    0.16883541981346906,    0.5259328910995954,    
114,    child_1_24,    None,0.9840926783044127,    0.15680012252067355,    0.024549580471126986,    0.13769402886747073,    
115,    child_1_25,    None,0.5867604898425014,    0.4211942223116196,    0.848875636857769,    0.6725608838650888,    
116,    child_1_26,    None,0.39820291930669105,    0.13347047293047853,    0.8246080331261268,    0.8148770488846977,    
117,    child_1_27,    None,0.99382574956781,    0.2229600133106896,    0.7135014488083985,    0.38361363213000876,    
118,    child_1_28,    None,0.31799322420769705,    0.7419842712734203,    0.4867289023264175,    0.5660995812871367,    
119,    child_1_29,    None,0.9024625168523424,    0.8328767633258488,    0.6242639263302966,    0.4796540989155912,    
120,    child_2_0,    None,0.48719757797974317,    0.6234123848468431,    0.25046258358155526,    0.23338513462828303,    
121,    child_2_1,    None,0.1352869268386684,    0.9976529894320606,    0.05717708760967555,    0.31893864502289426,    
122,    child_2_2,    None,0.29254310028999275,    0.05236294885298298,    0.8894277582347125,    0.22415377579317142,    
123,    child_2_3,    None,0.025591140145946878,    0.2872212822948135,    0.14537879501268236,    0.9262300295877915,    
124,    child_2_4,    None,0.5581665235774218,    0.33155774450431186,    0.5462507497015242,    0.4376745860010647,    
125,    child_2_5,    None,0.1340476177020652,    0.21466677157509761,    0.4494755493141378,    0.8651707201211645,    
126,    child_2_6,    None,0.4035139340638201,    0.11901906484207325,    0.739576187859649,    0.8664420166696921,    
127,    child_2_7,    None,0.2450551469218868,    0.2808082569924095,    0.30979440639533273,    0.6830423833842352,    
128,    child_2_8,    None,0.5285267087817416,    0.932793510891624,    0.024048480508056747,    0.5402746578128385,    
129,    child_2_9,    None,0.6620957182309809,    0.7285638713312167,    0.6648305054421485,    0.7423874201458597,    
130,    child_2_10,    None,0.34019628201099983,    0.5260355772723285,    0.1833507049215266,    0.7703570551099482,    
131,    child_2_11,    None,0.7021993334173843,    0.6388153472386159,    0.4842981984114484,    0.833584973791305,    
132,    child_2_12,    None,0.5248180010011786,    0.9579453815892974,    0.9040283404190605,    0.9890774264062786,    
133,    child_2_13,    None,0.20315588368780912,    0.9273972510151479,    0.39917243756476917,    0.9224927514298341,    
134,    child_2_14,    None,0.013246016909131741,    0.7821548647915747,    0.04346293735893669,    0.4606080286879398,    
135,    child_2_15,    None,0.6309507574145655,    0.9238512192321712,    0.4117624697735667,    0.5570644578326281,    
136,    child_2_16,    None,0.5816397829896283,    0.23916888660861113,    0.07206994565642566,    0.22505021237976652,    
137,    child_2_17,    None,0.9881918887021682,    0.6910757981964442,    0.019688706754462104,    0.017494092785264814,    
138,    child_2_18,    None,0.28611529936302416,    0.10669552791624615,    0.5528626378073574,    0.8576671722397943,    
139,    child_2_19,    None,0.6678289041158455,    0.8385336087119909,    0.8766535718855011,    0.12143301923660688,    
140,    child_2_20,    None,0.8054447218927697,    0.543721991077277,    0.7489143437544821,    0.906588828218387,    
141,    child_2_21,    None,0.25757981036289124,    0.39725642797819627,    0.5799795336223166,    0.6922994367408632,    
142,    child_2_22,    None,0.7630584881032251,    0.4825068234329162,    0.520374586518601,    0.6991808339640653,    
143,    child_2_23,    None,0.2852104106383746,    0.9024623731398538,    0.9069307869334152,    0.168873392466672,    
144,    child_2_24,    None,0.9443296994220681,    0.9571338150786333,    0.6824227149899954,    0.06491848939703171,    
145,    child_2_25,    None,0.6305636393451425,    0.9797992707987401,    0.6738190085004413,    0.7545378397780963,    
146,    child_2_26,    None,0.6307627712911006,    0.45395784684278073,    0.1886454945570507,    0.783859920951817,    
147,    child_2_27,    None,0.26957973682620806,    0.37333387232778503,    0.022343163235786223,    0.34576716266698004,    
148,    child_2_28,    None,0.3475140558872233,    0.2391492126909628,    0.602519805866087,    0.4000679862936666,    
149,    child_2_29,    None,0.9615069771544226,    0.18428257934570336,    0.512207740276055,    0.8433406324369765,    
