Solution Number,  Solution Name,   Fitness,  max_boron,  FDeltaH,  cycle_length,  
0,    intial_solution,    1.0,0.49421527964189815,    0.1442737633394584,    0.9623001922029482,    
1,    solution_0_0,    1.0,0.5845789091895336,    0.5703372817391433,    0.3208276169049141,    
2,    solution_0_1,    1.0,0.32169167399954746,    0.010854325083655247,    0.3537715231174572,    
3,    solution_0_2,    1.0,0.2390890950112008,    0.07779722969639502,    0.9750092462542661,    
4,    solution_1_0,    1.0,0.37654155909745524,    0.850125120473602,    0.5332150766785896,    
5,    solution_1_1,    1.0,0.6335252809113469,    0.21168101599517308,    0.30970502431421654,    
6,    solution_1_2,    1.0,0.30617701062399894,    0.14259591720496634,    0.6942464898574618,    
7,    solution_2_0,    1.0,0.4081396166954351,    0.8778964690312965,    0.47825983682135154,    
8,    solution_2_1,    1.0,0.7578179642941009,    0.28497365746757464,    0.5795881569176102,    
9,    solution_2_2,    1.0,0.755446886245097,    0.1753325040492143,    0.4434572581386118,    
10,    solution_3_0,    1.0,0.08680596788101447,    0.4245416538439023,    0.5576360384220094,    
11,    solution_3_1,    1.0,0.8367553017116203,    0.09099696789649847,    0.25431967769600816,    
12,    solution_3_2,    1.0,0.9298626879555504,    0.16216891434099734,    0.296995654145245,    
