Solution Generation,  Highest Fitness,  Average Fitness,  Lowest Fitness,   Highest Fitness max_boron,Highest Fitness PinPowerPeaking,Highest Fitness FDeltaH,Highest Fitness cycle_length,Lowest Fitness max_boron,Lowest Fitness PinPowerPeaking,Lowest Fitness FDeltaH,Lowest Fitness cycle_length,Best max_boron in generation,  Average max_boron in generation,  Worst max_boron in generation,  Best PinPowerPeaking in generation,  Average PinPowerPeaking in generation,  Worst PinPowerPeaking in generation,  Best FDeltaH in generation,  Average FDeltaH in generation,  Worst FDeltaH in generation,  Best cycle_length in generation,  Average cycle_length in generation,  Worst cycle_length in generation,  
0,  0.9753876205944613,  0.6767441666940245,  0.16801865015386597,  0.8359121312364257,  0.846708421750149,  0.7586446781850588,  0.9753876205944613,  0.7758253454372596,  0.5241004992326416,  0.8829829067960041,  0.16801865015386597,  0.029917591416904532,  0.48679637129111014,  0.994663923912603,  0.017741450095529743,  0.5729693509283523,  0.9846722460502835,  0.07874134584263093,  0.47904393825342095,  0.9992714280597075,  0.9753876205944613,  0.6767441666940245,  0.16801865015386597,  
1,  0.9886694708871105,  0.7278290564829322,  0.1558405500772957,  0.7639846119327466,  0.3796133947269815,  0.24431922648854287,  0.9886694708871105,  0.21441001436752904,  0.4763046207236252,  0.2628999973226933,  0.1558405500772957,  0.029917591416904532,  0.5249884157087856,  0.994663923912603,  0.017741450095529743,  0.5158637453606594,  0.9846722460502835,  0.07874134584263093,  0.44623003797076805,  0.9992714280597075,  0.9886694708871105,  0.7278290564829322,  0.1558405500772957,  
2,  0.9886694708871105,  0.7792892427439004,  0.3057381243266204,  0.7639846119327466,  0.3796133947269815,  0.24431922648854287,  0.9886694708871105,  0.4471062588330216,  0.6976575363249167,  0.302553496835653,  0.3057381243266204,  0.12006897906109715,  0.6021486290579675,  0.994663923912603,  0.0691924642838403,  0.5132827583602517,  0.9686366878066134,  0.07262031378053235,  0.4690511517201887,  0.9992714280597075,  0.9886694708871105,  0.7792892427439004,  0.3057381243266204,  
3,  0.9890774264062786,  0.8025233227528911,  0.21181334454851686,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.7807943718041537,  0.22456140888195886,  0.9905776584032583,  0.21181334454851686,  0.12006897906109715,  0.64663399073253,  0.994663923912603,  0.0691924642838403,  0.5152806448928353,  0.9686366878066134,  0.024048480508056747,  0.46849951738456636,  0.9992714280597075,  0.9890774264062786,  0.8025233227528911,  0.21181334454851686,  
4,  0.9890774264062786,  0.8254565602848561,  0.13082823472516147,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.3654787683074834,  0.3911276604934536,  0.49028685543418427,  0.13082823472516147,  0.08684304718528402,  0.6086227765877855,  0.994663923912603,  0.024402437848657366,  0.4691908650282304,  0.9686366878066134,  0.07262031378053235,  0.48273828739136887,  0.9992714280597075,  0.9890774264062786,  0.8254565602848561,  0.13082823472516147,  
5,  0.9890774264062786,  0.8814988563976095,  0.5245168971351986,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.07081160680999798,  0.15562071693977142,  0.0626841388465621,  0.5245168971351986,  0.02301689192342904,  0.5466990714250207,  0.994663923912603,  0.024402437848657366,  0.4911392656692009,  0.9686366878066134,  0.0295876368882394,  0.44037472703443725,  0.9992714280597075,  0.9890774264062786,  0.8814988563976095,  0.5245168971351986,  
6,  0.9890774264062786,  0.8906609721725063,  0.5245168971351986,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.07081160680999798,  0.15562071693977142,  0.0626841388465621,  0.5245168971351986,  0.07081160680999798,  0.566995304494072,  0.994663923912603,  0.024402437848657366,  0.5501602718474045,  0.9686366878066134,  0.0416754964658983,  0.4637947769571026,  0.9992714280597075,  0.9890774264062786,  0.8906609721725063,  0.5245168971351986,  
7,  0.9890774264062786,  0.857558888100572,  0.49518213170575576,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.2606075775947905,  0.7544984149771304,  0.28880302733190344,  0.49518213170575576,  0.13237678657121588,  0.575230689211578,  0.987507781257528,  0.008125221517016779,  0.4674075171940734,  0.9686366878066134,  0.03828463421162209,  0.44821447835856026,  0.9992714280597075,  0.9890774264062786,  0.857558888100572,  0.49518213170575576,  
8,  0.9890774264062786,  0.7870571128278075,  0.3157858938403909,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.023602566143466785,  0.36300484532655664,  0.6230096981519407,  0.3157858938403909,  0.023602566143466785,  0.5330763437083941,  0.987507781257528,  0.008125221517016779,  0.46028578050145036,  0.9686366878066134,  0.03828463421162209,  0.42796539720994276,  0.9992714280597075,  0.9890774264062786,  0.7870571128278075,  0.3157858938403909,  
9,  0.9890774264062786,  0.8132144394892791,  0.3232836263354453,  0.5248180010011786,  0.9579453815892974,  0.9040283404190605,  0.9890774264062786,  0.5369587050799904,  0.6826525489887442,  0.4665245572724561,  0.3232836263354453,  0.05258680616655531,  0.5492589388541145,  0.987507781257528,  0.008125221517016779,  0.4814654268839851,  0.9686366878066134,  0.07262031378053235,  0.44751580208069064,  0.9992714280597075,  0.9890774264062786,  0.8132144394892791,  0.3232836263354453,  
